batch_size,depth,dropout,epochs,filters,learning_rate,optimizer_name,val_accuracy,test_accuracy,train_time_sec
64,1,0.3,5,"[32, 64]",0.001,adam,0.5885999798774719,0.5827000141143799,19.64
64,1,0.3,5,"[32, 64]",0.001,sgd,0.2978000044822693,0.30469998717308044,18.25
64,1,0.3,5,"[32, 64]",0.0001,adam,0.5378000140190125,0.5303000211715698,21.17
64,1,0.3,5,"[32, 64]",0.0001,sgd,0.1817999929189682,0.17990000545978546,17.99
64,1,0.3,5,"[64, 128]",0.001,adam,0.6057999730110168,0.59170001745224,35.41
64,1,0.3,5,"[64, 128]",0.001,sgd,0.30720001459121704,0.30649998784065247,26.44
64,1,0.3,5,"[64, 128]",0.0001,adam,0.5253999829292297,0.5297999978065491,30.01
64,1,0.3,5,"[64, 128]",0.0001,sgd,0.18160000443458557,0.1793999969959259,26.71
64,1,0.5,5,"[32, 64]",0.001,adam,0.5735999941825867,0.5662000179290771,19.46
64,1,0.5,5,"[32, 64]",0.001,sgd,0.3176000118255615,0.32089999318122864,17.86
64,1,0.5,5,"[32, 64]",0.0001,adam,0.5027999877929688,0.49720001220703125,19.45
64,1,0.5,5,"[32, 64]",0.0001,sgd,0.20440000295639038,0.1941000074148178,17.78
64,1,0.5,5,"[64, 128]",0.001,adam,0.4684000015258789,0.4652999937534332,29.89
64,1,0.5,5,"[64, 128]",0.001,sgd,0.33239999413490295,0.3327000141143799,26.52
64,1,0.5,5,"[64, 128]",0.0001,adam,0.5063999891281128,0.49399998784065247,29.61
64,1,0.5,5,"[64, 128]",0.0001,sgd,0.2142000049352646,0.2240000069141388,26.3
64,2,0.3,5,"[32, 64]",0.001,adam,0.6115999817848206,0.6057000160217285,30.3
64,2,0.3,5,"[32, 64]",0.001,sgd,0.21619999408721924,0.22709999978542328,29.32
64,2,0.3,5,"[32, 64]",0.0001,adam,0.526199996471405,0.5228000283241272,30.71
64,2,0.3,5,"[32, 64]",0.0001,sgd,0.11299999803304672,0.10890000313520432,34.43
64,2,0.3,5,"[64, 128]",0.001,adam,0.6647999882698059,0.657800018787384,64.96
64,2,0.3,5,"[64, 128]",0.001,sgd,0.251800000667572,0.25450000166893005,62.99
64,2,0.3,5,"[64, 128]",0.0001,adam,0.5564000010490417,0.5455999970436096,64.29
64,2,0.3,5,"[64, 128]",0.0001,sgd,0.11599999666213989,0.10949999839067459,63.43
64,2,0.5,5,"[32, 64]",0.001,adam,0.6294000148773193,0.6175000071525574,30.46
64,2,0.5,5,"[32, 64]",0.001,sgd,0.23720000684261322,0.24169999361038208,30.01
64,2,0.5,5,"[32, 64]",0.0001,adam,0.5228000283241272,0.5130000114440918,31.13
64,2,0.5,5,"[32, 64]",0.0001,sgd,0.10480000078678131,0.10329999774694443,34.55
64,2,0.5,5,"[64, 128]",0.001,adam,0.6565999984741211,0.6470000147819519,63.62
64,2,0.5,5,"[64, 128]",0.001,sgd,0.22419999539852142,0.2281000018119812,64.39
64,2,0.5,5,"[64, 128]",0.0001,adam,0.5454000234603882,0.5407999753952026,63.73
64,2,0.5,5,"[64, 128]",0.0001,sgd,0.17239999771118164,0.17030000686645508,63.22
